Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
04/08/2020,262.74,267.37,261.23,266.07,42224238,58.41,-6.54,-10.63,4.09,/,/
04/09/2020,268.7,270.07,264.7,267.99,40529173,67.14,-4.96,-9.5,4.54,/,/
04/13/2020,268.31,273.7,265.83,273.25,32755986,71.55,-3.25,-8.25,5.0,/,/
04/14/2020,280.0,288.25,278.05,287.05,48758939,69.27,-0.77,-6.75,5.98,/,/
04/15/2020,282.4,286.33,280.63,284.43,32800103,68.27,0.98,-5.2,6.18,/,/
04/16/2020,287.38,288.1975,282.3502,286.69,39281320,64.73,2.51,-3.66,6.17,/,/
04/17/2020,284.69,286.945,276.86,282.8,53815163,69.7,3.38,-2.25,5.63,/,/
04/20/2020,277.95,281.68,276.85,276.93,32504209,62.6,3.55,-1.09,4.64,/,/
04/21/2020,276.28,277.25,265.43,268.37,45248020,57.35,2.96,-0.28,3.24,/,/
04/22/2020,273.61,277.9,272.2,275.76,29337351,69.39,3.05,0.39,2.66,/,/
04/23/2020,275.87,281.75,274.87,275.03,31205729,67.39,3.03,0.92,2.11,/,/
04/24/2020,277.2,283.01,277.0,282.97,31627239,72.84,3.61,1.46,2.15,/,/
04/27/2020,281.8,284.54,279.95,283.17,29272103,64.76,4.04,1.98,2.06,/,/
04/28/2020,285.08,285.83,278.2,278.58,28001192,63.36,3.97,2.38,1.59,/,/
04/29/2020,284.73,289.67,283.89,287.73,34320516,64.6,4.6,2.82,1.78,/,/
04/30/2020,289.96,294.53,288.35,293.949,45767139,66.54,5.53,3.36,2.17,/,/
05/01/2020,286.25,299.0,285.85,289.07,60189471,60.13,5.81,3.85,1.96,/,/
05/04/2020,289.17,293.69,286.3172,293.16,33442369,54.47,6.29,4.34,1.95,/,/
05/05/2020,295.06,301.0,294.46,297.56,36937829,59.36,6.94,4.86,2.08,/,/
05/06/2020,300.46,303.24,298.87,300.63,35583631,59.82,7.62,5.41,2.21,/,/
05/07/2020,303.22,305.17,301.97,303.74,28803839,64.91,8.32,5.99,2.33,/,/
05/08/2020,305.64,310.35,304.29,310.13,33511985,73.47,9.28,6.65,2.63,/,/
05/11/2020,308.1,317.05,307.24,315.01,36489092,84.79,10.31,7.38,2.93,/,/
05/12/2020,317.83,319.688,310.91,311.41,40576800,78.18,10.71,8.05,2.66,/,/
05/13/2020,312.15,315.95,303.21,307.65,50156237,74.61,10.61,8.56,2.05,/,/
05/14/2020,304.51,309.79,301.53,309.54,39732385,72.06,10.56,8.96,1.6,/,/
05/15/2020,300.35,307.9,300.21,307.691,42150755,69.81,10.25,9.22,1.03,/,/
05/18/2020,313.17,316.5,310.3241,314.96,33843328,78.18,10.47,9.47,1.0,/,/
05/19/2020,315.03,318.52,313.01,313.14,25432497,72.2,10.38,9.65,0.73,/,/
05/20/2020,316.68,319.52,316.2,319.23,27889322,72.14,10.67,9.85,0.82,/,/
05/21/2020,318.66,320.89,315.87,316.85,25751595,75.44,10.59,10.0,0.59,/,/
05/22/2020,315.77,319.23,315.35,318.89,20462228,74.48,10.58,10.12,0.46,/,/
05/26/2020,323.5,324.24,316.5,316.73,31380505,69.05,10.28,10.15,0.13,/,/
05/27/2020,316.14,318.71,313.09,318.11,28242401,67.98,10.03,10.13,-0.1,/,/
05/28/2020,316.77,323.44,315.63,318.25,33449121,65.89,9.74,10.05,-0.31,/,/
05/29/2020,319.25,321.15,316.47,317.94,38471781,59.87,9.37,9.91,-0.54,/,/
06/01/2020,317.75,322.35,317.21,321.85,20268124,58.86,9.28,9.78,-0.5,/,/
06/02/2020,320.745,323.44,318.93,323.34,21910704,66.35,9.22,9.67,-0.45,/,/
06/03/2020,324.66,326.2,322.3,325.12,26123702,75.31,9.22,9.58,-0.36,/,/
06/04/2020,324.39,325.62,320.78,322.32,21890092,68.04,8.89,9.44,-0.55,/,/
06/05/2020,323.35,331.75,323.23,331.5,34414292,77.85,9.26,9.4,-0.14,/,/
06/08/2020,330.25,333.6,327.32,333.58,23913861,74.79,9.61,9.44,0.17,/,/
06/09/2020,332.14,345.61,332.01,343.99,36930243,83.42,10.6,9.67,0.93,/,/
06/10/2020,347.9,354.77,346.09,352.84,41666592,84.36,11.97,10.13,1.84,/,/
