Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
2020-03-12,580.89,594.5,546.25,560.55,18922114,20.56,-16.46,11.71,-28.17,/,0.0
2020-03-13,595.0,607.57,502.0,546.62,22641801,22.64,-25.88,4.19,-30.07,/,0.0
2020-03-16,469.4997,494.8699,442.17,445.07,20501540,20.06,-41.07,-4.86,-36.21,/,0.0
2020-03-17,440.01,471.85,396.0,430.2,24042296,20.27,-53.69,-14.63,-39.06,/,0.0
2020-03-18,389.0,404.86,350.51,361.22,23789229,21.39,-68.47,-25.4,-43.07,/,0.0
2020-03-19,374.6965,452.0,358.46,427.64,30218080,30.33,-73.96,-35.11,-38.85,/,0.0
2020-03-20,438.2,477.0,425.79,427.53,28292502,20.48,-77.44,-43.58,-33.86,/,0.0
2020-03-23,433.6,441.9999,410.5,434.29,16494149,21.2,-78.74,-50.61,-28.13,/,0.0
2020-03-24,477.3,513.69,474.0,505.0,22932710,29.86,-73.22,-55.13,-18.09,/,0.0
2020-03-25,545.25,557.0,511.11,539.25,21222815,34.97,-65.33,-57.17,-8.16,/,0.0
2020-03-26,547.39,560.0,512.25,528.16,17427963,35.54,-59.29,-57.59,-1.7,/,0.0
2020-03-27,505.0,525.8,494.03,514.36,14382139,41.07,-54.98,-57.07,2.09,/,0.0
2020-03-30,510.26,516.6471,491.23,502.13,11998474,35.67,-51.96,-56.05,4.09,/,0.0
2020-03-31,501.25,542.96,497.0,524.0,17836295,39.2,-47.25,-54.29,7.04,/,0.0
2020-04-01,504.0,513.9548,475.1,481.56,13357018,41.75,-46.41,-52.71,6.3,/,0.0
2020-04-02,481.03,494.2599,446.4,454.47,19858727,40.64,-47.38,-51.64,4.26,/,0.0
2020-04-03,509.5,515.49,468.3901,480.01,22562279,54.2,-45.57,-50.43,4.86,/,0.0
2020-04-06,511.2,521.0,497.96,516.24,14951936,59.83,-40.74,-48.49,7.75,/,0.0
2020-04-07,545.0,565.0,532.34,545.45,17919978,73.16,-34.16,-45.62,11.46,/,0.0
2020-04-08,554.2,557.2081,533.33,548.84,12656024,68.1,-28.34,-42.16,13.82,/,0.0
2020-04-09,562.09,575.1818,557.11,573.0,13650000,70.27,-21.53,-38.03,16.5,/,0.0
2020-04-13,590.16,652.0,580.53,650.95,22475444,75.2,-9.74,-32.37,22.63,/,0.0
2020-04-14,698.97,741.88,692.43,709.89,30576667,74.5,4.31,-25.03,29.34,/,0.0
2020-04-15,742.0,753.13,710.0,729.83,23659403,73.59,16.87,-16.65,33.52,/,0.0
2020-04-16,716.94,759.45,706.715,745.21,20657864,76.59,27.74,-7.77,35.51,/,0.0
2020-04-17,772.28,774.95,747.66,753.89,13128243,79.71,36.63,1.11,35.52,/,0.0
2020-04-20,732.71,765.57,712.21,746.36,14752777,80.66,42.58,9.4,33.18,/,0.0
2020-04-21,730.12,753.33,673.79,686.72,20221693,68.66,42.0,15.92,26.08,/,0.0
2020-04-22,703.98,734.0,688.71,732.11,14224832,78.53,44.69,21.67,23.02,/,0.0
2020-04-23,727.6,734.0,703.13,705.63,13236698,78.64,44.18,26.17,18.01,/,0.0
2020-04-24,710.81,730.73,698.18,725.15,13237637,78.34,44.83,29.9,14.93,/,0.0
2020-04-27,737.61,799.49,735.0,798.75,20681442,80.07,50.7,34.06,16.64,/,0.0
2020-04-28,795.64,805.0,756.69,769.12,15222719,73.78,52.36,37.72,14.64,/,0.0
2020-04-29,790.17,803.1999,783.16,800.51,16223632,75.26,55.57,41.29,14.28,/,0.0
2020-04-30,855.19,869.82,763.5,781.88,28477961,71.2,55.96,44.22,11.74,/,0.0
2020-05-01,755.0,772.77,683.04,701.32,32544885,55.08,49.2,45.22,3.98,/,0.0
2020-05-04,701.0,762.0,698.0,761.19,19237103,55.17,48.12,45.8,2.32,/,0.0
2020-05-05,789.79,798.92,762.18,768.21,16991656,53.97,47.28,46.1,1.18,/,0.0
2020-05-06,776.5,789.8,761.11,782.58,11123240,53.87,47.24,46.33,0.91,/,0.0
2020-05-07,777.21,796.4,772.35,780.04,11527736,52.75,46.46,46.36,0.1,/,0.0
2020-05-08,793.77,824.0,787.01,819.42,16152669,57.19,48.46,46.78,1.68,/,0.0
2020-05-11,790.51,824.0,785.0,811.29,16520136,63.64,48.82,47.19,1.63,/,0.0
2020-05-12,827.02,843.29,808.0,809.41,15906905,59.36,48.4,47.43,0.97,/,0.0
2020-05-13,820.83,826.0,763.3,790.96,19065491,60.54,46.05,47.15,-1.1,/,0.0
2020-05-14,780.0,803.36,764.0,803.33,13682188,59.83,44.67,46.65,-1.98,/,0.0
2020-05-15,790.35,805.0486,786.552,799.17,10521597,50.06,42.75,45.87,-3.12,/,0.0
2020-05-18,827.78,834.7201,803.88,813.63,11698114,57.11,41.91,45.08,-3.17,/,0.0
2020-05-19,815.17,822.07,806.08,808.0,9637522,51.3,40.32,44.13,-3.81,/,0.0
2020-05-20,820.5,826.0,811.8,815.56,7309273,56.09,39.22,43.15,-3.93,/,0.0
2020-05-21,816.0,832.5,796.0,827.6,12255188,80.38,38.88,42.3,-3.42,/,0.0
2020-05-22,822.1735,831.78,812.0,816.88,9987475,67.54,37.31,41.3,-3.99,/,0.0
2020-05-26,834.3625,834.6,815.705,818.87,8216486,66.48,35.81,40.2,-4.39,/,0.0
