Date,Open,High,Low,Close,Volume
2020-08-20,1860.68,2021.99,1857.06,2001.83,20611934
2020-08-21,2044.76,2095.49,2025.05,2049.98,21489743
2020-08-24,2126.275,2129,1927.52,2014.2,20073326
2020-08-25,1974.89,2027.95,1968,2023.34,10658909
2020-08-26,2060,2166,2053.6291,2153.17,14239384
2020-08-27,2180.46,2295.6,2142.5,2238.75,23693083
2020-08-28,2295.12,2318.49,2186.52,2213.4,20146652
2020-08-31,444.61,500.14,440.11,498.32,118424529
2020-09-01,502.14,502.49,470.51,475.05,90270040
2020-09-02,478.99,479.04,405.1206,447.37,96583753
2020-09-03,407.23,431.8,402,407,87635747
2020-09-04,402.81,428,372.0201,418.32,110323962
2020-09-08,356,368.74,329.88,330.21,115477579
2020-09-09,356.6,369,341.51,366.28,79473343
2020-09-10,386.21,398.99,360.56,371.34,84931238
2020-09-11,381.94,382.5,360.5,372.72,60717493
2020-09-14,380.95,420,373.3,419.62,83021062
2020-09-15,436.56,461.94,430.7,449.76,97298511
2020-09-16,439.87,457.79,435.31,441.76,72554963
2020-09-17,415.6,437.79,408.0001,423.43,76779427
2020-09-18,447.94,451,428.8,442.15,86407031
2020-09-21,453.13,455.68,407.07,449.39,109477152
2020-09-22,429.6,437.76,417.6001,424.23,79580811
2020-09-23,405.16,412.15,375.8801,380.36,95373118
2020-09-24,363.8,399.5,351.3,387.79,96561061
2020-09-25,393.47,408.7323,391.3,407.34,67208600
2020-09-28,424.62,428.08,415.55,421.2,49719963
2020-09-29,416,428.5,411.6,419.07,50341531
2020-09-30,421.32,433.93,420.47,429.01,48149710
2020-10-01,440.76,448.88,434.42,448.16,50741875
2020-10-02,421.39,439.13,415,415.09,71430276
2020-10-05,423.35,433.64,419.33,425.68,44722809
2020-10-06,423.79,428.7799,406.05,413.98,49146554
2020-10-07,419.87,429.9,413.845,425.3,43127759
2020-10-08,438.57,439,425.3,425.92,40421127
2020-10-09,430.13,434.5899,426.4601,433.95,29234319
2020-10-12,442,448.74,438.58,442.3,38793366
2020-10-13,443.35,448.89,436.6,446.65,34527765
2020-10-14,449.78,465.9,447.35,461.3,48045473
2020-10-15,450.31,456.57,442.5,448.88,35672354
2020-10-16,454.44,455.9499,438.85,439.67,32775881
2020-10-19,446.24,447,428.87,430.83,36287843
2020-10-20,431.75,431.75,419.0501,421.94,31656385
2020-10-21,422.7,432.95,421.25,422.64,32373590
2020-10-22,441.92,445.23,424.51,425.79,40003604
2020-10-23,421.59,422.8859,407.3801,420.63,33718180
2020-10-26,411.63,425.76,410,420.28,28268522
2020-10-27,423.65,430.5,420.1,424.68,22686536
2020-10-28,416.3,418.6,406,406.02,25451834
2020-10-29,409.96,418.06,406.46,410.83,22655452
2020-10-30,406.8954,407.5915,379.11,388.04,42587646
2020-11-02,394,406.9799,392.3,400.51,29049202
2020-11-03,409.73,427.77,406.69,423.9,34355396
2020-11-04,430.62,435.4,417.1,420.84,32147057
2020-11-05,428.3,440,424.0001,438.09,28414638
2020-11-06,436.1,436.57,424.28,429.95,21706979
2020-11-09,439.5,452.5,421,421.26,34856935
2020-11-10,420.09,420.09,396.0301,410.36,30284225
2020-11-11,416.45,418.695,410.58,417.13,17357922
2020-11-12,415.05,423,409.52,411.76,19940976
2020-11-13,410.85,412.5319,401.66,408.5,19830514
2020-11-16,408.93,412.45,404.0868,408.09,26838710
2020-11-17,460.17,462,433.01,441.61,61253328
2020-11-18,448.35,496,443.5001,486.64,78055533
2020-11-19,492,508.6112,487.57,499.27,62806684
2020-11-20,497.99,502.5,489.06,489.61,32928177
2020-11-23,503.5,526,501.79,521.49,50644659
2020-11-24,540.4,559.99,526.2,555.38,53642060
2020-11-25,550.06,574,545.37,574,49006809
2020-11-27,581.16,598.78,578.45,585.76,37561154
2020-11-30,602.21,607.8,554.51,567.6,63009218
2020-12-01,597.59,597.85,572.05,584.76,40383124
2020-12-02,556.44,571.54,541.21,568.82,47776283
2020-12-03,590.02,598.97,582.43,593.38,42552535
2020-12-04,591.01,599.04,585.5,599.04,29401551
2020-12-07,604.9197,648.7856,603.05,641.76,56311730
2020-12-08,625.505,651.28,618.5,649.88,64268769
2020-12-09,653.69,654.32,588,604.48,71291432
2020-12-10,574.37,627.75,566.34,627.07,67084325
2020-12-11,615.01,624,596.8,609.99,46889974
2020-12-14,619,642.7499,610.2001,639.83,52040701
2020-12-15,643.28,646.9,623.8,633.25,45224283
2020-12-16,628.23,632.5,605,622.77,42133861
2020-12-17,628.19,658.82,619.5,655.6,56275864
2020-12-18,668.9,695,628.54,658.34,234609204
2020-12-21,666.24,668.5,646.07,649.86,58063248
2020-12-22,648,649.88,614.23,640.34,51891142
2020-12-23,632.2,651.4999,622.5701,645.98,33172997
2020-12-24,642.99,666.09,641,661.77,22865568
2020-12-28,674.51,681.4,660.8,663.69,32278861
2020-12-29,661,669.9,655,665.99,22910816
2020-12-30,672,696.6,668.3603,694.78,42846121
2020-12-31,700,718.72,691.12,705.67,49650155
